grievance_id,text,department,state,urgency,if_anomaly_score,escalation_risk,predicted_resolution_days
SYN0000004,My luggage worth Rs 20814 was stolen from coach A1 on train Rajdhani and no proper action has been taken by railway authorities.,Ministry of Railways,Assam,high,0.5994,0.039,63.5
SYN0000032,"Train 12301 from Jharkhand to Haryana was delayed by 14 hours without any announcement, causing inconvenience to passengers and senior citizens.",Ministry of Railways,Madhya Pradesh,high,0.5633,0.787,37.3
SYN0000060,PM-KISAN installment of Rs 99936 has not been received for 16 months despite verification being completed successfully.,Ministry of Agriculture,Odisha,high,0.5619,0.07,29.3
SYN0000087,Refund of Rs 38418 for cancelled ticket 7950052603 has still not been received after 86 days despite multiple complaints on the railway portal.,Ministry of Railways,Madhya Pradesh,high,0.5761,0.037,41.3
SYN0000168,"Complaint registered 17 months ago, no resolution yet from Ministry of Labour.",Ministry of Labour,Uttar Pradesh,critical,0.5637,0.054,27.3
SYN0000229,My luggage worth Rs 182508 was stolen from coach S7 on train 12301 and no proper action has been taken by railway authorities.,Ministry of Railways,Delhi,high,0.5833,0.029,63.7
SYN0000236,My luggage worth Rs 161159 was stolen from coach S4 on train Vande Bharat 2056 and no proper action has been taken by railway authorities.,Ministry of Railways,Madhya Pradesh,high,0.6008,0.042,60.2
SYN0000252,My luggage worth Rs 66572 was stolen from coach B2 on train Rajdhani and no proper action has been taken by railway authorities.,Ministry of Railways,Kerala,high,0.59,0.026,59.7
SYN0000256,Office of Ministry of Water Resources closed during working hours repeatedly.,Ministry of Water Resources,Jharkhand,low,0.5638,0.183,31.4
SYN0000405,Electricity bill of Rs 41722 for July appears heavily overcharged despite normal household usage.,Ministry of Power,Karnataka,medium,0.5702,0.253,60.0
SYN0000419,Refund of Rs 15418 for cancelled ticket 5303388081 has still not been received after 19 days despite multiple complaints on the railway portal.,Ministry of Railways,Tamil Nadu,high,0.5647,0.013,43.3
SYN0000492,Application submitted 117 days ago with no response from Ministry of Commerce.,Ministry of Commerce,West Bengal,high,0.5603,0.043,67.1
SYN0000509,Refund of Rs 155456 for cancelled ticket 3433111854 has still not been received after 103 days despite multiple complaints on the railway portal.,Ministry of Railways,Chhattisgarh,high,0.6098,0.019,65.2
SYN0000513,Electricity bill of Rs 10777 for June appears heavily overcharged despite normal household usage.,Ministry of Power,Bihar,low,0.5752,0.165,54.0
SYN0000526,"Train 12301 from Punjab to Assam was delayed by 5 hours without any announcement, causing inconvenience to passengers and senior citizens.",Ministry of Railways,Haryana,low,0.5645,0.104,46.3
SYN0000556,Electricity bill of Rs 130481 for March appears heavily overcharged despite normal household usage.,Ministry of Power,Gujarat,high,0.5624,0.079,56.9
SYN0000575,Service not provided despite Rs 119483 fee paid to Ministry of Petroleum.,Ministry of Petroleum,Uttarakhand,high,0.5705,0.617,30.7
SYN0000604,Refund of Rs 168679 for cancelled ticket 2731421360 has still not been received after 107 days despite multiple complaints on the railway portal.,Ministry of Railways,West Bengal,high,0.5669,0.011,49.2
SYN0000659,Office of Department of Posts closed during working hours repeatedly.,Department of Posts,Uttar Pradesh,high,0.563,0.092,68.1
SYN0000677,Refund of Rs 164211 for cancelled ticket 2547427786 has still not been received after 169 days despite multiple complaints on the railway portal.,Ministry of Railways,Kerala,high,0.5712,0.022,49.9
SYN0000693,"Complaint registered 12 months ago, no resolution yet from Ministry of Commerce.",Ministry of Commerce,Tamil Nadu,critical,0.5777,0.148,65.6
SYN0000696,"Complaint registered 14 months ago, no resolution yet from Ministry of Water Resources.",Ministry of Water Resources,Jharkhand,critical,0.5887,0.037,26.7
SYN0000818,Ambulance service did not respond in Sector 4 for 42 hours during a medical emergency involving an elderly patient.,Ministry of Health,Uttarakhand,critical,0.5811,0.464,31.7
SYN0000819,My luggage worth Rs 58539 was stolen from coach B2 on train Rajdhani and no proper action has been taken by railway authorities.,Ministry of Railways,Bihar,high,0.5644,0.04,61.7
SYN0000822,Refund of Rs 146224 for cancelled ticket 9954035060 has still not been received after 72 days despite multiple complaints on the railway portal.,Ministry of Railways,Karnataka,high,0.5731,0.037,38.4
SYN0000849,Refund of Rs 106467 for cancelled ticket 2321318186 has still not been received after 79 days despite multiple complaints on the railway portal.,Ministry of Railways,Punjab,high,0.5608,0.018,45.5
SYN0000850,Refund of Rs 175741 for cancelled ticket 6067610558 has still not been received after 40 days despite multiple complaints on the railway portal.,Ministry of Railways,West Bengal,high,0.5733,0.019,39.7
SYN0000858,My luggage worth Rs 32889 was stolen from coach B2 on train 22691 and no proper action has been taken by railway authorities.,Ministry of Railways,West Bengal,high,0.6035,0.012,65.4
SYN0000895,PM-KISAN installment of Rs 18893 has not been received for 13 months despite verification being completed successfully.,Ministry of Agriculture,Telangana,high,0.5635,0.051,27.7
SYN0000896,Ambulance service did not respond in Village Rampur for 29 hours during a medical emergency involving an elderly patient.,Ministry of Health,Uttarakhand,critical,0.6139,0.846,33.1
SYN0000909,PM-KISAN installment of Rs 178252 has not been received for 2 months despite verification being completed successfully.,Ministry of Agriculture,Jharkhand,high,0.5658,0.029,30.7
SYN0000940,My luggage worth Rs 41420 was stolen from coach 2A on train Vande Bharat 2056 and no proper action has been taken by railway authorities.,Ministry of Railways,Kerala,high,0.578,0.031,57.2
SYN0000944,Service not provided despite Rs 24391 fee paid to Ministry of Labour.,Ministry of Labour,Kerala,high,0.5663,0.087,60.2
SYN0000949,Service not provided despite Rs 53758 fee paid to Ministry of Transport.,Ministry of Transport,Assam,high,0.606,0.73,64.8
SYN0000980,Service not provided despite Rs 137602 fee paid to Ministry of Commerce.,Ministry of Commerce,Karnataka,high,0.5866,0.15,64.9
SYN0000988,My luggage worth Rs 90165 was stolen from coach B2 on train Vande Bharat 2056 and no proper action has been taken by railway authorities.,Ministry of Railways,Gujarat,high,0.5674,0.031,50.1
SYN0001037,"Complaint registered 3 months ago, no resolution yet from Ministry of Petroleum.",Ministry of Petroleum,Tamil Nadu,high,0.5627,0.507,72.3
SYN0001040,My luggage worth Rs 104401 was stolen from coach S7 on train Rajdhani and no proper action has been taken by railway authorities.,Ministry of Railways,West Bengal,high,0.5781,0.026,62.3
SYN0001059,My luggage worth Rs 64369 was stolen from coach A1 on train 22691 and no proper action has been taken by railway authorities.,Ministry of Railways,Chhattisgarh,high,0.6022,0.019,64.2
SYN0001087,"Train 22691 from Telangana to Tamil Nadu was delayed by 71 hours without any announcement, causing inconvenience to passengers and senior citizens.",Ministry of Railways,Bihar,high,0.5759,0.021,64.0
SYN0001164,Document submitted to Department of Posts not processed for 37 days.,Department of Posts,Assam,low,0.5668,0.758,39.4
SYN0001207,"Mid-day meal has not been provided at government school in Colony C for 117 days, affecting students from poor families.",Ministry of Education,Kerala,critical,0.5623,0.075,30.9
SYN0001208,"Vaccination certificate has not been generated even after 135 days, causing issues for travel and office verification.",Ministry of Health,Tamil Nadu,critical,0.5686,0.208,31.1
SYN0001289,Refund of Rs 23683 for cancelled ticket 6646907184 has still not been received after 84 days despite multiple complaints on the railway portal.,Ministry of Railways,Maharashtra,high,0.5658,0.036,44.9
SYN0001298,"Mobile network services have been unavailable in Village Rampur for 144 days, affecting online classes and digital payments.",Ministry of Telecommunications,Madhya Pradesh,critical,0.5949,0.438,22.7
SYN0001340,My luggage worth Rs 80104 was stolen from coach A1 on train 12301 and no proper action has been taken by railway authorities.,Ministry of Railways,Punjab,high,0.5653,0.018,52.6
SYN0001436,My luggage worth Rs 123878 was stolen from coach B2 on train Vande Bharat 2056 and no proper action has been taken by railway authorities.,Ministry of Railways,Kerala,high,0.5843,0.056,60.5
SYN0001447,Crop insurance claim worth Rs 6722 was rejected without any valid inspection or explanation from officials.,Ministry of Agriculture,Uttar Pradesh,high,0.5701,0.1,30.5
SYN0001498,My luggage worth Rs 182562 was stolen from coach B2 on train 12301 and no proper action has been taken by railway authorities.,Ministry of Railways,Maharashtra,high,0.5753,0.044,55.8
SYN0001631,My luggage worth Rs 146455 was stolen from coach S4 on train Rajdhani and no proper action has been taken by railway authorities.,Ministry of Railways,Uttarakhand,high,0.5865,0.113,65.3
SYN0001637,Crop insurance claim worth Rs 60949 was rejected without any valid inspection or explanation from officials.,Ministry of Agriculture,Gujarat,low,0.5622,0.04,43.1
SYN0001654,PM-KISAN installment of Rs 139393 has not been received for 7 months despite verification being completed successfully.,Ministry of Agriculture,Madhya Pradesh,high,0.5679,0.142,30.4
SYN0001659,My luggage worth Rs 111876 was stolen from coach S4 on train 22691 and no proper action has been taken by railway authorities.,Ministry of Railways,West Bengal,high,0.5789,0.019,61.9
SYN0001665,"Complaint registered 8 months ago, no resolution yet from Ministry of Water Resources.",Ministry of Water Resources,Tamil Nadu,medium,0.565,0.675,62.2
SYN0001673,"Train Vande Bharat 2056 from Assam to Assam was delayed by 12 hours without any announcement, causing inconvenience to passengers and senior citizens.",Ministry of Railways,Jharkhand,high,0.5852,0.019,22.9
SYN0001679,Doctor at District Hospital demanded Rs 86976 cash for treatment that should have been completely free under the government scheme.,Ministry of Health,Odisha,medium,0.567,0.145,37.0
SYN0001717,My luggage worth Rs 54990 was stolen from coach A1 on train 12301 and no proper action has been taken by railway authorities.,Ministry of Railways,Chhattisgarh,high,0.6132,0.009,66.2
SYN0001721,SIM card was blocked without prior notice even though the number has active recharge and valid KYC verification.,Ministry of Telecommunications,Karnataka,medium,0.5609,0.719,30.9
SYN0001723,My luggage worth Rs 73319 was stolen from coach S4 on train Shatabdi and no proper action has been taken by railway authorities.,Ministry of Railways,Karnataka,medium,0.5609,0.023,44.8
SYN0001755,"Train 12301 from Rajasthan to Kerala was delayed by 67 hours without any announcement, causing inconvenience to passengers and senior citizens.",Ministry of Railways,Madhya Pradesh,critical,0.6185,0.576,31.9
SYN0001762,"Train Vande Bharat 2056 from Assam to Kerala was delayed by 35 hours without any announcement, causing inconvenience to passengers and senior citizens.",Ministry of Railways,Haryana,high,0.5693,0.011,33.7
SYN0001834,Service not provided despite Rs 25808 fee paid to Department of Posts.,Department of Posts,Bihar,medium,0.5612,0.701,38.8
SYN0001855,Refund of Rs 150742 for cancelled ticket 6018677014 has still not been received after 38 days despite multiple complaints on the railway portal.,Ministry of Railways,Uttar Pradesh,high,0.5655,0.053,43.6
SYN0001884,Refund of Rs 146580 for cancelled ticket 8966902154 has still not been received after 29 days despite multiple complaints on the railway portal.,Ministry of Railways,Karnataka,high,0.5701,0.008,44.6
SYN0001913,My luggage worth Rs 162878 was stolen from coach S4 on train 22691 and no proper action has been taken by railway authorities.,Ministry of Railways,Bihar,medium,0.5716,0.047,43.4
SYN0001921,Refund of Rs 51185 for cancelled ticket 8189604840 has still not been received after 115 days despite multiple complaints on the railway portal.,Ministry of Railways,Haryana,high,0.568,0.013,38.0
SYN0001922,SIM card was blocked without prior notice even though the number has active recharge and valid KYC verification.,Ministry of Telecommunications,Andhra Pradesh,medium,0.5604,0.675,33.8
gdn_5765618729748450427,"‘My head spins with the heat’: India’s gig workers battle exhaustion amid soaring temperatures . Cities across south and south-east Asia are becoming places where informal workers can no longer recover from the heat By the time Jalaj Jha begins getting ready for work each morning, he already feels drained. Awakening in a cramped room in Delhi, with no ventilation except a rattling fan pushing hot air around, the 24-year-old gig worker has ahead of him a 12-hour shift delivering groceries. “I barely sleep three or four hours in this heat,” Jha said, wiping dust off his motorbike, which he uses for deliveries.",Ministry of Labour,Delhi,medium,0.6369,0.013,44.3
gdn_1516781142998756142,"Angus Taylor’s claim support is a ‘privilege of citizenship’ leaves Deepa and others with an impossible choice. Opposition leader’s view that only Australians should get access to welfare leaves some facing the prospect of giving up their homeland citizenship When Deepa Chaudhary’s newborn slept, she used the time to find out what support she could get as a permanent resident in Australia. The answer was: not very much. Chaudhary moved here from India four years ago and worked until her baby was born in January last year. She describes the stress and mental health issues of being a new mother in Australia. “You’re supposed to get a maternity payment, b",Ministry of Health,national,medium,0.6428,0.028,45.6
gdn_4016189506614183340,"The Guardian view on India’s Iran shock: Asia’s neoliberal era starts to fracture. <strong>Editorial:</strong> Narendra Modi’s austerity appeals reveal how war, energy insecurity and dollar pressures expose the fragility of globalisation The Indian prime minister’s call for sacrifice last week marks a fundamental shift. He urged the country’s 1.4 billion people to consume less fuel and fertiliser, buy less gold and curb foreign travel as global energy prices surge because of the war in Iran. The message, redolent of the Covid-era restrictions, suggests something larger: a retreat from neoliberal globalisation in Asia and the retur",Ministry of Agriculture,national,medium,0.631,0.025,48.3
gdn_7175892720905810010,"US reportedly dropped fraud charges against Indian billionaire after he hired Trump’s lawyer. Gautam Adani, richest man in Asia, was accused of conspiring to pay $250m in bribes to Indian government officials The US Department of Justice is dropping its fraud charges against the Indian billionaire Gautam Adani, the richest man in Asia, after he hired a new legal team led by Donald Trump’s personal lawyer, according to new reports. In an undisclosed April meeting at the justice department, Trump’s personal lawyer, Robert J Giuffra Jr, said that Adani would invest $10bn in the US economy and create 15,00",Ministry of Home Affairs,national,critical,0.6687,0.021,36.1
